accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.6980684399604797,0.8204803466796875,0.5162947177886963,0.22811654210090637,0.8082695603370667,0.6998921632766724,0.820507824420929,0.5224100351333618,0.22903865575790405,0.8068541288375854,0.0001250000059371814
0.6972500085830688,0.8205552101135254,0.5161752104759216,0.22775763273239136,0.8092523813247681,0.6977313756942749,0.8204773664474487,0.524942934513092,0.22797879576683044,0.8087683320045471,0.0001250000059371814
0.6980262398719788,0.8205593228340149,0.5162067413330078,0.2280636727809906,0.8080965876579285,0.6988857984542847,0.8204735517501831,0.5249292254447937,0.2284514605998993,0.8071486353874207,0.0001250000059371814
0.6977861523628235,0.8206023573875427,0.5160618424415588,0.22800566256046295,0.8086941242218018,0.6988516449928284,0.8204529881477356,0.5239889621734619,0.2284696400165558,0.8074063062667847,0.0001250000059371814
0.6978672742843628,0.820904552936554,0.5156855583190918,0.2281683087348938,0.8094253540039062,0.7005149126052856,0.8205278515815735,0.5200414657592773,0.22935818135738373,0.8063756227493286,6.25000029685907e-05
0.6978859305381775,0.8209617733955383,0.5156368017196655,0.22820766270160675,0.8096061944961548,0.7009668350219727,0.8205295205116272,0.5191209316253662,0.229366272687912,0.8045718669891357,6.25000029685907e-05
0.6978412866592407,0.8209799528121948,0.5154898166656494,0.22808343172073364,0.8089771866798401,0.6994098424911499,0.8204943537712097,0.5207180976867676,0.22876907885074615,0.807075023651123,6.25000029685907e-05
0.6975111961364746,0.8209317922592163,0.5155339241027832,0.2279658019542694,0.8095511198043823,0.6994820237159729,0.8205468654632568,0.5207605957984924,0.22887103259563446,0.8074431419372559,6.25000029685907e-05
0.6981284618377686,0.820891261100769,0.5156230330467224,0.22828546166419983,0.8091265559196472,0.7009402513504028,0.8205391764640808,0.5185457468032837,0.22945162653923035,0.8052344918251038,6.25000029685907e-05
0.697807252407074,0.820972740650177,0.5154379606246948,0.22806943953037262,0.8090243935585022,0.6989123821258545,0.8204997777938843,0.5201522707939148,0.22851338982582092,0.8074431419372559,6.25000029685907e-05
0.6982606649398804,0.8212370872497559,0.5151182413101196,0.2283487468957901,0.8090007901191711,0.700864315032959,0.8205294013023376,0.5200188159942627,0.22937512397766113,0.8050504326820374,6.25000029685907e-05
0.6984909772872925,0.8210488557815552,0.5153408646583557,0.2283998727798462,0.8083953857421875,0.7011377215385437,0.8205158114433289,0.5184699892997742,0.2295200675725937,0.804866373538971,6.25000029685907e-05
0.6987619400024414,0.8213650584220886,0.5149366855621338,0.2286551147699356,0.808953583240509,0.7005225419998169,0.820518970489502,0.5178940892219543,0.22925525903701782,0.8056762218475342,3.125000148429535e-05
